file_id,number_of_pages,pdf_location,txt_location,txt_content
104-10063-10162,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10063-10162.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10162.txt,
104-10063-10169,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10063-10169.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10169.txt,
104-10063-10179,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10063-10179.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10179.txt,
104-10063-10206,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10063-10206.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10206.txt,
104-10063-10266,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10063-10266.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10266.txt,
104-10063-10430,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10063-10430.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10430.txt,
104-10063-10434,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10063-10434.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10434.txt,
104-10063-10438,6,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10063-10438.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10063-10438.txt,
104-10064-10006,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10064-10006.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10064-10006.txt,
104-10064-10012,17,/Users/furkandemir/Desktop/Thesis/pdf_files/11-20/104-10064-10012.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10064-10012.txt,
104-10064-10015,10,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10064-10015.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10064-10015.txt,
104-10065-10028,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10065-10028.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10028.txt,
104-10065-10050,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/simple/104-10065-10050.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10050.txt,
104-10065-10069,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10065-10069.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10069.txt,
104-10065-10075,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10065-10075.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10075.txt,
